Yield,Height,Canopy
48,8.3,0.22
48.2,7.79,0.29
48.6,8.38,0.52
49.1,11.4,0.41
49.9,12,0.44
51,8.86,0.28
51,13,0.33
51.2,8,0.36
51.3,12.11,0.71
51.6,11.4,0.44
51.9,9.29,0.33
52.1,12.18,0.68
52.2,9.36,0.38
52.3,12.13,0.54
52.6,13.4,0.36
52.7,10.43,0.48
52.7,10.66,0.48
52.8,11.08,0.48
52.9,11.18,0.49
52.9,14.29,0.54
53.0,12.53,0.46
53.0,11.38,0.5
53.0,12.19,0.48
53.1,11.13,0.53
53.2,15.64,0.51
53.3,12.9,0.55
53.4,10.6,0.36
53.5,13.29,0.5
53.5,9.27,0.6
53.6,13.28,0.51
53.6,12.05,0.68
53.6,12,0.45
53.7,12.05,0.4
53.8,11.33,0.61
53.9,14.84,0.48
53.9,14.13,0.51
53.9,16.61,0.4
53.9,14.72,0.49
54.0,13.28,0.55
54,16,0.72
54.0,11.6,0.62
54.0,10.81,0.65
54.1,14.96,0.54
54.2,14.49,0.53
54.2,11.16,0.66
54.3,16.59,0.46
54.3,18.02,0.58
54.3,12.96,0.6
54.4,18.28,0.84
54.4,14.49,0.55
54.4,14.6,0.55
54.5,14.67,0.65
54.5,12.37,0.66
54.6,13.66,0.6
54.6,16.4,0.39
54.6,16.9,0.45
54.6,15.17,0.63
54.6,13.87,0.49
54.6,14.83,0.56
54.6,15.68,0.53
54.7,15.72,0.53
54.7,13.46,0.62
54.8,14.36,0.6
54.8,11.48,0.71
54.9,13.14,0.65
54.9,16.4,0.53
54.9,11.75,0.71
54.9,12.02,0.7
55.0,15.47,0.57
55.0,15.41,0.58
55.1,14.71,0.61
55.1,11.19,0.73
55.1,16.47,0.55
55.2,17.87,0.5
55.2,15.86,0.58
55.2,12.72,0.48
55.3,16.97,0.55
55.3,14.92,0.63
55.4,15.08,0.63
55.4,16.41,0.58
55.4,17.78,0.6
55.4,16.17,0.59
55.5,13.13,0.45
55.5,11.92,0.76
55.5,17.23,0.56
55.5,17.01,0.57
55.6,13.69,0.7
55.6,16.07,0.61
55.6,12.91,0.61
55.7,14.77,0.67
55.9,16.25,0.64
56.0,19.3,0.5
56.0,13.7,0.75
56.1,18.56,0.57
56.1,12.93,0.61
56.1,15.84,0.66
56.1,10.76,0.42
56.1,15.77,0.68
56.1,16.33,0.66
56.2,16.15,0.67
56.2,12.74,0.8
56.2,19.32,0.53
56.3,14.83,0.73
56.3,17.22,0.64
56.3,19.22,0.56
56.3,15,0.73
56.3,18,0.75
56.4,14.26,0.76
56.4,14,0.82
56.5,14.62,0.76
56.5,16.51,0.69
56.5,17.73,0.7
56.5,17.27,0.67
56.6,13.59,0.81
56.6,17.95,0.55
56.6,16.5,0.71
56.6,15.48,0.74
56.6,13.49,0.82
56.7,15,0.51
56.7,17.67,0.69
56.7,12.53,0.7
56.7,17.32,0.68
56.7,14.22,0.8
56.7,15.31,0.76
56.8,18.88,0.63
56.8,18.75,0.53
56.8,11.18,0.78
56.8,18.76,0.64
56.9,15.54,0.77
56.9,13.7,0.84
57,19.35,0.54
57.1,12.57,0.84
57.1,18.24,0.69
57.1,17.47,0.72
57.3,15.55,0.81
57.3,16.08,0.79
57.4,15.72,0.81
57.4,18.9,0.69
57.4,16.17,0.8
57.5,14.63,0.86
57.5,14.3,0.88
57.6,16.51,0.8
57.6,14.94,0.86
57.6,18.64,0.75
57.6,13.65,0.87
57.7,12.65,0.86
57.7,16.77,0.8
57.7,14.47,0.89
57.8,15.49,0.86
57.8,19.39,0.71
57.8,17,0.8
57.8,17.64,0.78
57.8,14,0.86
57.8,16.56,0.92
57.8,17.94,0.77
57.9,15.72,0.86
57.9,13.83,0.91
58.0,15.76,0.87
58.0,13.45,0.9
58.0,11.09,0.81
58.0,16.39,0.85
58.0,11.34,0.82
58.1,14.43,0.93
58.1,15.97,0.84
58.1,18.84,1
58.1,14.27,0.93
58.2,11.47,0.83
58.3,14.07,0.93
58.3,19.38,0.77
58.3,17.55,0.84
58.4,11.34,0.83
58.4,17.65,0.84
58.4,15.56,0.92
58.4,13.15,0.9
58.4,19.02,0.79
58.4,17.75,0.84
58.5,19.31,0.79
58.5,11,0.82
58.5,18.08,0.84
58.6,17.27,0.8
58.7,16.59,0.91
58.7,14.67,0.76
58.7,18.13,0.86
58.8,16.88,0.91
58.8,16.88,0.91
58.8,12.86,0.9
58.8,19.25,0.86
58.8,17.16,0.71
58.8,15.2,0.8
58.8,18.84,0.84
58.9,15.76,1
58.9,18.08,0.88
59.0,17.49,0.91
59.1,12.13,0.88
59.1,17.71,0.91
59.1,17.51,0.92
59.3,15.9,1
59.3,17.32,0.95
59.3,18.38,0.91
59.4,16.47,0.99
59.4,15.8,0.92
59.4,11.13,0.85
59.5,14.26,0.96
59.5,12.66,0.99
59.7,13.8,0.94
59.7,11.4,0.99
59.7,12,0.98
59.8,13.5,0.97
59.9,14.8,0.84
60.1,11.44,0.88
60.1,11.2,0.98
60.3,14.07,0.99
60.4,14.29,1
60.7,12.98,0.96
60.7,13.51,0.98
61.2,13.71,1
61.3,10.36,0.87
61.4,11.77,0.93
61.6,11.13,0.91
61.7,10.59,0.89
62.0,13.13,1
62.3,12.2,0.97
63.1,11.46,0.96
64.0,10.39,0.94
